Y X1 X2 X3
6.907755 0.881749 0.9475592 0.9177695
6.55108 0.890181 0.9524228 0.9268535
6.55108 0.872585 0.9460401 0.9245727
6.684612 0.8628099 0.9418296 0.9207009
6.55108 0.851968 0.9366828 0.9146486
6.55108 0.8350302 0.9335213 0.9305281
6.684612 0.8088187 0.9210998 0.917282
6.476972 0.8253623 0.9297671 0.9331324
6.214608 0.8119765 0.9236561 0.9282842
6.309918 0.8019253 0.9185294 0.9192973
6.476972 0.8198168 0.9273227 0.933551
6.907755 0.8086118 0.9221639 0.930453
6.476972 0.7968024 0.9166385 0.924555
6.309918 0.7882645 0.9125525 0.920205
6.620073 0.7677883 0.9026483 0.9151487
5.991465 0.7524269 0.8948881 0.9054519
6.476972 0.8380876 0.9256079 0.8896404
6.684612 0.8198498 0.9168485 0.881496
6.55108 0.809838 0.9094456 0.8682634
6.620073 0.8141097 0.9168482 0.8893821
6.620073 0.8033988 0.910017 0.8788464
6.476972 0.8047446 0.9087223 0.8724313
6.476972 0.7950697 0.9153226 0.9169121
6.109248 0.7669258 0.9020624 0.9099566
6.109248 0.7568043 0.8965559 0.9015774
6.620073 0.8016401 0.917809 0.9149535
6.802395 0.7872705 0.9104871 0.9065468
6.55108 0.7710791 0.9027164 0.9009814
6.620073 0.8130604 0.9219809 0.9128224
6.476972 0.7934454 0.9123688 0.9033937
6.39693 0.779896 0.9049374 0.8941948
6.55108 0.8265127 0.9271727 0.9132084
6.620073 0.818402 0.9235076 0.9103063
6.684612 0.8122703 0.9191216 0.9011431
6.55108 0.839632 0.9319029 0.9128954
6.684612 0.8259964 0.9244841 0.9023326
6.802395 0.8291821 0.9240697 0.8960342
6.907755 0.8605661 0.9392657 0.9129325
6.620073 0.848044 0.9327767 0.9040404
6.620073 0.8403393 0.9278287 0.8951364
6.620073 0.8685417 0.9422776 0.914152
6.55108 0.8605496 0.9379484 0.9074606
6.620073 0.8569187 0.934143 0.8971417
6.55108 0.8828064 0.9478084 0.9173332
6.620073 0.8707324 0.9411683 0.906435
